"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 15:20:47 UTC 2021","Fri Sep 10 15:20:56 UTC 2021","9000","","ubuntu2004-container","","","","QA 155","PCP QA Test No. 155

verify PMDA not ready protocol



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:24:55 UTC 2021","Fri Sep 10 15:25:04 UTC 2021","9000","","ubuntu1804-i386-container","","","","QA 1204","PCP QA Test No. 1204

pmlogctl - basic functionality



see qa/1226 for the pmiectl variant of this test



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:23:59 UTC 2021","Fri Sep 10 15:24:00 UTC 2021","1000","","debian11-container","","","","QA 561","PCP QA Test No. 561

Exercise pmMergeLabels(3) handling of various input data.



Copyright (c) 2016-2017 Red Hat.



"
"passed","Fri Sep 10 15:26:09 UTC 2021","Fri Sep 10 15:26:09 UTC 2021","0","","fedora33-container","","","","QA 002","PCP QA Test No. 002

simplest possible verification of a pmcd and agent



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:28:17 UTC 2021","Fri Sep 10 15:28:17 UTC 2021","0","","fedora33-container","","","","QA 407","PCP QA Test No. 407

Derived metrics and PM_TYPE_EVENT



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:20:21 UTC 2021","Fri Sep 10 15:20:22 UTC 2021","1000","","ubuntu1604-container","","","","QA 208","PCP QA Test No. 208



Exercise dynamic PMNS features



Copyright (c) 2009 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:17:26 UTC 2021","Fri Sep 10 15:17:26 UTC 2021","0","","centos6-container","","","","QA 437","PCP QA Test No. 437

Exercise compressed archive files - badness in the uncompression



Copyright (c) 2014 Red Hat.

Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:26:24 UTC 2021","Fri Sep 10 15:26:31 UTC 2021","7000","","ubuntu2004-btf","","","","QA 702","PCP QA Test No. 702

Exercise python PMAPI layer - basic live host tests



Copyright (c) 2012-2014 Red Hat.



"
"passed","Fri Sep 10 15:30:15 UTC 2021","Fri Sep 10 15:30:16 UTC 2021","1000","","fedora-rawhide-container","","","","QA 567","PCP QA Test No. 567

Exercise pmMergeLabelSets(3) handling of various input data.



Copyright (c) 2017 Red Hat.



"
"passed","Fri Sep 10 15:23:58 UTC 2021","Fri Sep 10 15:23:59 UTC 2021","1000","","debian11-container","","","","QA 548","PCP QA Test No. 548

nomatch_inst for pmie



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:19:12 UTC 2021","Fri Sep 10 15:19:12 UTC 2021","0","","centos8-container","","","","QA 249","PCP QA Test No. 249



Derived metrics - exercise pmFetch processing



Copyright (c) 2009 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 15:29:31 UTC 2021","Fri Sep 10 15:29:36 UTC 2021","5000","","fedora-rawhide-container","","","","QA 338","PCP QA Test No. 338

pmlogger_daily ... do you work at all?



NEW VERSION for YYYYDDMM style naming convention (see also 530)



Copyright (c) 2008 Silicon Graphics, Inc.  All Rights Reserved.



check-group-include: pmlogrewrite pmlogextract



"
"passed","Fri Sep 10 15:19:52 UTC 2021","Fri Sep 10 15:19:52 UTC 2021","0","","ubuntu2004-container","","","","QA 007","PCP QA Test No. 007

exercise optFetch routines



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:20:25 UTC 2021","Fri Sep 10 15:20:25 UTC 2021","0","","centos7-container","","","","QA 403","PCP QA Test No. 403

check some ASCII tools handling of failed fetches causing pmFetch to

return a null pmResult.

Bug #541380



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:20:14 UTC 2021","Fri Sep 10 15:20:15 UTC 2021","1000","","centos8-container","","","","QA 900","PCP QA Test No. 900

Test pcp(1) invokes other utilities with environment set.



Copyright (c) 2014 Red Hat.



"
"passed","Fri Sep 10 15:23:34 UTC 2021","Fri Sep 10 15:23:34 UTC 2021","0","","debian10-container","","","","QA 026","PCP QA Test No. 026

Text Services (Help and Oneline) for PMIDs and pmInDoms



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 15:21:57 UTC 2021","Fri Sep 10 15:21:57 UTC 2021","0","","debian11-container","","","","QA 034","PCP QA Test No. 034

pmlogger with different logging rates



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
